itemID,itemName,,,,,,,,,,,,
242302,Bloom Skewers,242640,8,,,,,,,,,,
242309,Farstrider Rations,242639,8,242646,4,242642,4,,,,,,
242306,Forager's Medley,242640,8,242645,4,,,,,,,,
242303,Mana-Infused Stew,242639,4,242640,4,242644,4,,,,,,
242308,Portable Snack,242640,8,242646,4,242642,4,,,,,,
242307,Quick Sandwich,242639,8,242647,4,,,,,,,,
242305,Silvermoon Standard,242639,4,242640,4,253403,4,,,,,,
242304,Spiced Biscuits,242643,4,242646,12,,,,,,,,
253403,Spellfire Filet,253403,12,242644,4,,,,,,,,
242288,Twilight Angler's Medley,253403,40,242647,4,242643,4,,,,,,
242290,Wise Tails,238379,12,242647,4,242642,12,,,,,,
242296,Bloodthistle-Wrapped Cutlets,242639,40,242647,8,242644,4,242641,4,236770,5,,
242292,Eversong Pudding,238383,20,242643,20,242644,8,242641,8,,,,
242294,Felberry Figs,242640,40,242645,16,242643,4,242644,4,,,,
242291,Fried Bloomtail,238369,20,253403,40,242643,20,242646,20,242641,4,,
242295,Hearthflame Supper,242639,28,242640,28,242647,8,242646,16,242641,8,,
242293,Sunwell Delight,238365,16,238366,16,238371,16,238384,16,238383,16,242647,20
242276,Braised Blood Hunter,238377,24,242643,12,242641,12,242647,12,236950,8,,
242277,Crimson Calamari,238373,24,242643,12,242646,12,236770,6,,,,
242278,Tasty Smoked Tetra,238368,24,242647,16,242646,16,236950,8,,,,
242287,Arcano Cutlets,242639,20,242644,4,242641,4,242646,4,,,,
242280,Buttered Root Crab,238367,24,242640,12,242643,12,242646,12,242647,4,,
242286,Fel-Kissed Filet,253403,20,242644,4,242641,4,,,,,,
242281,Glitter Skewers,238378,8,253403,20,242647,4,242643,4,,,,
242282,Null and Void Plate,238379,8,238373,4,242643,4,242646,4,242647,4,,
242283,Sun-Seared Lumifin,238374,8,253403,20,242647,4,,,,,,
242284,Void-Kissed Fish Rolls,253403,16,242645,8,242643,4,242647,4,,,,
242285,Warped Wise Wings,238379,12,242643,12,242646,4,,,,,,
242274,Champion's Bento,242639,20,242640,20,253403,20,242647,20,242646,20,,
255848,Flora Frenzy,242640,50,242647,20,242646,20,,,,,,
255847,Impossibly Royal Roast,242640,60,242643,16,242645,16,242647,16,,,,
242275,Royal Roast,242639,60,242643,16,242645,16,242647,16,,,,
242273,Blooming Feast,242640,40,242647,20,251285,2,236778,5,236774,5,236776,5
255846,Harandar Celebration,242640,40,242647,16,242641,12,236951,12,251285,2,236774,3
242272,Quel'dorei Medley,238383,24,242647,4,238372,18,242641,4,253403,40,251285,2
255845,Silvermoon Parade,238366,18,242647,4,238371,18,242641,4,242639,40,251285,2
242298,Argentleaf Tea,242644,4,236776,2,,,,,,,,
242301,Azeroot Tea,242644,4,236774,2,,,,,,,,
242297,Mana Lily Tea,242644,4,236778,2,,,,,,,,
242299,Sanguithorn Tea,242644,4,236770,2,,,,,,,,
242300,Tranquility Bloom Tea,242644,4,236761,6,,,,,,,,
