itemID,itemName,Trillithia
242302,Bloom Skewers,TRUE
242309,Farstrider Rations,TRUE
242306,Forager's Medley,TRUE
242303,Mana-Infused Stew,TRUE
242308,Portable Snack,TRUE
242307,Quick Sandwich,TRUE
242305,Silvermoon Standard,TRUE
242304,Spiced Biscuits,TRUE
253403,Spellfire Filet,TRUE
242288,Twilight Angler's Medley,TRUE
242290,Wise Tails,TRUE
242296,Bloodthistle-Wrapped Cutlets,TRUE
242292,Eversong Pudding,TRUE
242294,Felberry Figs,TRUE
242291,Fried Bloomtail,TRUE
242295,Hearthflame Supper,TRUE
242293,Sunwell Delight,TRUE
242276,Braised Blood Hunter,TRUE
242277,Crimson Calamari,TRUE
242278,Tasty Smoked Tetra,TRUE
242287,Arcano Cutlets,TRUE
242280,Buttered Root Crab,TRUE
242286,Fel-Kissed Filet,TRUE
242281,Glitter Skewers,TRUE
242282,Null and Void Plate,TRUE
242283,Sun-Seared Lumifin,TRUE
242284,Void-Kissed Fish Rolls,TRUE
242285,Warped Wise Wings,TRUE
242274,Champion's Bento,TRUE
255848,Flora Frenzy,TRUE
255847,Impossibly Royal Roast,TRUE
242275,Royal Roast,TRUE
242273,Blooming Feast,TRUE
255846,Harandar Celebration,TRUE
242272,Quel'dorei Medley,TRUE
255845,Silvermoon Parade,TRUE
242298,Argentleaf Tea,TRUE
242301,Azeroot Tea,TRUE
242297,Mana Lily Tea,TRUE
242299,Sanguithorn Tea,TRUE
242300,Tranquility Bloom Tea,TRUE
