itemID,itemName,,,,,,,
251487,Prismatic Focusing Iris,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Material Manufacturer,Optionally Optimal,Proficient Processor
251489,Stabilizing Gemstone Bandolier,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Material Manufacturer,Optionally Optimal,Proficient Processor
240974,Kaleidoscopic Prism,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Material Manufacturer,Boldly Basic,Proficient Processor
240972,Sin'dorei Lens,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Material Manufacturer,Boldly Basic,Proficient Processor
240991,Sunglass Vial,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Material Manufacturer,Boldly Basic,Proficient Processor
240889,Flawless Deadly Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Deadly Peridot
240891,Flawless Masterful Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Masterful Peridot
240887,Flawless Quick Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,
240893,Flawless Versatile Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Versatile Peridot
241137,Harandar Peridot Prism,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,
240861,Versatile Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Versatile Peridot
240859,Masterful Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Masterful Peridot
240857,Deadly Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Deadly Peridot
240855,Quick Peridot,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,
240913,Flawless Deadly Lapis,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Powerful Peridot,Deadly Lapis
240917,Flawless Masterful Lapis,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Lustrous Lapis,Masterful Lapis
240915,Flawless Quick Lapis,Thoughtful Throughput,Skilled Savings,Outrageous Output,Calculated Concentration,Glamorous Gems,Lustrous Lapis,Quick Lapis
