itemID,itemName,,,,,,
244177,Runed Dazzling Thorium Rod,"Transitories, Tonics, and Tools",Outstanding Outfits,Reputable Rods,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
244176,Runed Brilliant Silver Rod,"Transitories, Tonics, and Tools",Outstanding Outfits,Reputable Rods,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
244175,Runed Refulgent Copper Rod,"Transitories, Tonics, and Tools",Outstanding Outfits,Reputable Rods,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
244179,Magister's Grand Focus,"Transitories, Tonics, and Tools",Outstanding Outfits,Worthy Wands,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
244178,Thalassian Spellweaver's Wand,"Transitories, Tonics, and Tools",Outstanding Outfits,Worthy Wands,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
243735,Oil of Dawn,"Transitories, Tonics, and Tools",Excellent Expendables,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity,Multicrafting Meticulously
243737,Smuggler's Enchanted Edge,"Transitories, Tonics, and Tools",Excellent Expendables,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity,Multicrafting Meticulously
243733,Thalassian Phoenix Oil,"Transitories, Tonics, and Tools",Excellent Expendables,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity,Multicrafting Meticulously
244009,Enchant Boots - Farstrider's Hunt,Elevating Equipment,Thalassian Talents,Eversong Empowerments,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
243953,Enchant Boots - Lynx's Dexterity,Elevating Equipment,Amani Augments,Berserker Brawn,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
243983,Enchant Boots  - Shaladrassil's Roots,Elevating Equipment,Haranir Heightening,Worldsoul Wards,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
243947,Enchant Chest - Mark of Nalorakk,Elevating Equipment,Amani Augments,Zul'Aman Zeal,Spellbound Shatterer,Responsible Resourcefulness,Infinite Ingenuity
