itemID,itemName,Linidel,Braevele
239198,Arcanoweave Bolt,TRUE,TRUE
239201,Sunfire Silk Bolt,TRUE,TRUE
239702,Imbued Birght Linen Bolt,TRUE,TRUE
239700,Bright Linen Bolt,TRUE,TRUE
239711,Bright Linen Bandage,TRUE,TRUE
240166,Arcanoweave Lining,TRUE,FALSE
240164,Sunfire Silk Lining,TRUE,FALSE
239656,Adherent's Silken Shroud,TRUE,FALSE
239648,Martyr's Bindings,TRUE,FALSE
239652,Martyr's Crown,TRUE,FALSE
239653,Martyr's Gloves,TRUE,FALSE
239651,Martyr's Leggings,TRUE,FALSE
239650,Martyr's Mantle,TRUE,FALSE
239654,Martyr's Slippers,TRUE,FALSE
239655,Martyr's Vestments,TRUE,FALSE
239649,Martyr's Waistwrap,TRUE,TRUE
239675,Courtly Shoulders,TRUE,TRUE
239672,Courtly Robes,TRUE,TRUE
239674,Courtly Cloak,TRUE,TRUE
239669,Courtly Gloves,TRUE,TRUE
239668,Courtly Helm,TRUE,TRUE
239676,Courtly Pants,TRUE,TRUE
239670,Courtly Belt,TRUE,TRUE
239673,Courtly Slippers,TRUE,TRUE
239671,Courtly Wrists,TRUE,TRUE
239660,Arcanoweave Bracers,FALSE,TRUE
239661,Arcanoweave Cloak,TRUE,TRUE
239664,Arcanoweave Cord,FALSE,FALSE
239662,Arcanoweave Treads,FALSE,TRUE
239657,Sunfire Bracers,FALSE,TRUE
239658,Sunfire Cloak,FALSE,TRUE
239663,Sunfire Sash,TRUE,TRUE
239659,Sunfire Treads,FALSE,TRUE
267052,Thalassian Alchemy Coveralls,TRUE,TRUE
267054,Thalassian Chef's Chapeau,TRUE,TRUE
267056,Thalassian Enchanter's Bonnet,TRUE,TRUE
267060,Thalassian Herbalist's Cowl,TRUE,TRUE
267062,Thalassian Tailor's Threads,TRUE,TRUE
239635,Elegant Artisan's Alchemy Coveralls,TRUE,FALSE
239636,Elegant Artisan's Cooking Hat,TRUE,FALSE
239637,Elegant Artisan's Enchanting Hat,TRUE,FALSE
239638,Elegant Artisan's Fishing Hat,TRUE,TRUE
239639,Elegant Artisan's Herbalism Hat,TRUE,FALSE
239640,Elegant Artisan's Tailoring Robe,TRUE,FALSE
239641,Bright Linen Alchemy Apron,TRUE,TRUE
239643,Bright Linen Enchanting Hat,TRUE,TRUE
239644,Bright Linen Fishing Hat,TRUE,TRUE
239645,Bright Linen Herbalism Hat,TRUE,TRUE
239646,Bright Linen Tailoring Robe,TRUE,TRUE
239642,Chef's Bright Linen Cooking Chapeau,TRUE,TRUE
240154,Arcanoweave Spellthread,FALSE,FALSE
240094,Sunfire Silk Spellthread,FALSE,FALSE
240156,Bright Linen Spellthread,TRUE,TRUE
240161,Sunfire Silk Backpack,TRUE,TRUE
240158,Arcanoweave Reagent Rucksack,TRUE,TRUE
240160,Imbued Bright Linen Backpack,TRUE,TRUE
240159,Bright Linen Reagent Satchel,TRUE,TRUE
262592,Plush Silvermoon Bed,TRUE,FALSE
262593,Chic Silvermoon Pillow,TRUE,FALSE
262352,Lush Telogrus Carpet,TRUE,FALSE
262591,Luxurious Silvermoon Lounge Cushion,FALSE,FALSE
262599,Silvermoon Curtains,TRUE,TRUE
262611,Voidstrider Saddlebag,TRUE,FALSE
239677,Thalassian Competitor's Cloth Bands,FALSE,FALSE
239678,Thalassian Competitor's Cloth Cloak,FALSE,FALSE
239679,Thalassian Competitor's Cloth Gloves,FALSE,FALSE
239680,Thalassian Competitor's Cloth Hood,FALSE,FALSE
239681,Thalassian Competitor's Cloth Leggings,FALSE,FALSE
239682,Thalassian Competitor's Cloth Sash,FALSE,FALSE
239683,Thalassian Competitor's Cloth Shoulderpads,FALSE,FALSE
239684,Thalassian Competitor's Cloth Treads,FALSE,FALSE
239685,Thalassian Competitor's Cloth Tunic,FALSE,FALSE
267448,Blood-Tempered Cape,TRUE,TRUE
267447,Farstrider's Embroidered Cover,TRUE,TRUE
267446,Scout's Cape,TRUE,TRUE
267445,Silvermoon Agent's Drape,TRUE,TRUE
267444,Smuggler's Cloak,TRUE,TRUE
267449,Spellbreaker's Shroud,TRUE,TRUE
