itemID,itemName,Trillithia,Sillik
241309,Light's Potential,TRUE,TRUE
241297,Potion of Zealotry,TRUE,TRUE
241287,Light's Preservation,TRUE,TRUE
241301,Lightfused Mana Potion,TRUE,TRUE
241307,Refreshing Serum,TRUE,TRUE
241305,Silvermoon Health Potion,TRUE,TRUE
241339,Enlightenment Tonic,TRUE,TRUE
241295,Potion of Devoured Dreams,TRUE,TRUE
241289,Potion of Recklessness,TRUE,TRUE
241299,Amani Extract,TRUE,TRUE
241293,Draught of Rampant Abandon,TRUE,TRUE
241303,Void-Shrouded Tincture,TRUE,TRUE
241285,Voidlight Potion Cauldron,TRUE,TRUE
241319,Cauldron of Sin'dorei Flasks,TRUE,FALSE
241311,Haranir Phial of Finesse,TRUE,FALSE
241313,Haranir Phial of Ingenuity,TRUE,FALSE
241317,Haranir Phial of Perception,TRUE,TRUE
241325,Flask of the Blood Knights,TRUE,TRUE
241323,Flask of the Magisters,TRUE,TRUE
241327,Flask of the Shattered Sun,TRUE,TRUE
241321,Flask of Thalassian Resistance,TRUE,FALSE
241334,Vicious Thalassian Flask of Honor,FALSE,FALSE
245650,Bouquet of Herbs,TRUE,FALSE
242650,Box of Rocks,TRUE,TRUE
245647,School of Gems,TRUE,FALSE
241283,Wondrous Synergist,TRUE,FALSE
236949,Transmute: Mote of Light,TRUE,TRUE
236950,Transmute: Mote of Primal Energy,TRUE,TRUE
236952,Transmute: Mote of Pure Void,TRUE,TRUE
236951,Transmute: Mote of Wild Magic,TRUE,TRUE
241281,Composite Flora,TRUE,TRUE
241340,Magister's Alchemist Stone,FALSE,FALSE
241291,Primal Philosopher's Stone,TRUE,TRUE
257420,Silvermoon Spire Fountain,FALSE,FALSE
262355,Entropic Illuminant,FALSE,FALSE
262356,Haranir Preserving Agents,TRUE,TRUE
262354,Riftstone,FALSE,FALSE
253506,Rootbound Vat,TRUE,TRUE
256356,Sunsmoke Censer,TRUE,TRUE
268954,Entropic Extract,TRUE,TRUE
