itemID,itemName,,,,,,,
244586,Smuggler's Leather Wristbands,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Wonderful Wristguards
244589,Scout's Scaled Bracers,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Safeguarding Scales,Bolstered Bulwarks,Balanced Bracers
244603,Blessed Pango Charm,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Overwhelming Optionals
244674,Devouring Banding,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Overwhelming Optionals
244607,Primal Spore Binding,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Overwhelming Optionals
244633,Infused Scalewoven Hide,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Brimming Basics
244631,Scalewoven Hide,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Brimming Basics
244637,Silvermoon Weapon Wrap,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Brimming Basics
244635,Sin'dorei Armor Banding,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Brimming Basics
244639,Void-touched Drums,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Crucial Consumables
244642,Blood Knight's Armor Kit,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Crucial Consumables
244640,Forest Hunter's Amor Kit,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Crucial Consumables
244644,Thalassian Scout Armor Kit,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Flawless Fortes,Commanding Commodities,Crucial Consumables
244606,Hexwoven Strand,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Sturdy Sashes
244612,Row Walker's Deflectors,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Wonderful Wristguards
244613,Row Walker's Insurance,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Terrific Tunics
244614,Row Walker's Swiftgrips,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Grand Gloves
244570,Silvermoon Agent's Coat,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Terrific Tunics
244571,Silvermoon Agent's Cover,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Capable Caps
244576,Silvermoon Agent's Deflectors,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Wonderful Wristguards
244575,Silvermoon Agent's Handwraps,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Grand Gloves
244574,Silvermoon Agent's Leggings,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Toughened Tassets
244572,Silvermoon Agent's Mantle,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Mighty Mantles
244569,Silvermoon Agent's Sneakers,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Tasteful Treads
244573,Silvermoon Agent's Utility Belt,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Sturdy Sashes
244601,World Tree Rootwraps,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Embroidered Ensembles,Tasteful Treads
244591,Smuggler's Reinforced Hood,Learned Leatherworker,Waning Waste,Concentrated Crafter,Mastering Multicraft,Lasting Leather,Securely Shaped,Capable Caps
