itemID,itemName,Trillithia
243576,Soul Sprocket,TRUE
243574,Song Gear,TRUE
244703,Consistent Cogwheel,TRUE
244697,Flux Cogwheel,TRUE
244699,Greased Cogwheel,TRUE
244701,Perfected Cogwheel,TRUE
248486,Emergency Soul Link,TRUE
248138,Curious Red Button,TRUE
248485,Wormhole Generator: Quel'Thalas,TRUE
248132,Kinetic Ankle Primers,TRUE
248130,Lucky Keychain,TRUE
248135,"B1P, Scorcher of Souls",TRUE
248136,"M3DDY, Travel-Sized",TRUE
248137,"M3DDY, Travel-Sized",TRUE
255843,"HU5H, Nonchalant Pup",TRUE
248409,W-47CH D0G,TRUE
244743,Aetherlume Eye Wrap,TRUE
244747,Aetherlume Silken Cuffs,TRUE
244771,Aetherlume Softsteppers,TRUE
244759,Quel'dorei Cloth Goggles,TRUE
244755,Quel'dorei Silken Cuffs,TRUE
244767,Quel'dorei Sofsteppers,TRUE
244739,Thalassian Competitor's Cloth Cuffs,FALSE
244735,Thalassian Competitor's Cloth Goggles,FALSE
245337,Evercore Swiftfeet,TRUE
245341,Evercore Wrist Latch,TRUE
244751,Evercore Zoomshroud,TRUE
244748,Aetherlme Bands,TRUE
244744,Aetherlume Optics,TRUE
244772,Aetherlume Runners,TRUE
244756,Quel'dorei Bands,TRUE
244760,Quel'dorei Leather Optics,TRUE
244768,Quel'dorei Runners,TRUE
244740,Thaalssian Competitor's Leather Bands,FALSE
244736,Thalassian Competitor's Leather Optics,FALSE
245342,Evercore Binding,TRUE
244752,Evercore Shade,TRUE
245338,Evercore Stichwraps,TRUE
244749,Aetherlume Bracelets,TRUE
244773,Aetherlume Clonkers,TRUE
244745,Aetherlume Vision Shroud,TRUE
244757,Quel'dorei Bracelets,TRUE
244769,Quel'dorei Clonkers,TRUE
244761,Quel'dorei Mail Shroud,TRUE
244741,Thalassian Competitor's Mail Links,FALSE
244737,Thalassian Competitor's Mail Visor,FALSE
245343,Evercore Chainguards,TRUE
244753,Evercore Reconissance,TRUE
245339,Evercore Turbochains,TRUE
244750,Aetherlume Guards,TRUE
244774,Aetherlume Stompers,TRUE
244746,Aetherlume Sun Guard,TRUE
244758,Quel'dorei Guards,TRUE
244770,Quel'dorei Stompers,TRUE
244762,Quel'dorei Visor,TRUE
244742,Thalassian Competitor's Plate Bindings,FALSE
244738,Thalassian Competitor's Plate Guard,FALSE
245344,Evercore Gear Weight,TRUE
245340,Evercore Greaseplates,TRUE
244754,Evercore Vision Guard,TRUE
259171,Head-Mounted Beam Bummer,TRUE
259173,Rock Bonkin' Hardhat,TRUE
259177,Self-Sharpening Sin'dorei Snippers,TRUE
259179,Sin'dorei Reeler's Rod,TRUE
244720,Junker's Big Ol' Bag,TRUE
244712,Sin'dorei Angler's Rod,TRUE
244716,Sin'dorei Gilded Hardhat,TRUE
244710,Sin'dorei Headlamp,TRUE
244708,Sin'dorei Snippers,TRUE
244718,Turbo-Junker's Multitool,TRUE
244714,Sin'dorei Clampers,TRUE
244713,Farstrider Clampers,TRUE
244707,Farstrider Fabric Cutters,TRUE
244715,Farstrider Hardhat,TRUE
244711,Farstrider Hobbyist Rod,TRUE
244719,Farstrider Rock Satchel,TRUE
244709,Junker's Junk Visor,TRUE
244717,Junker's Multitool,TRUE
257745,Farstrider's Hawkeye,TRUE
257749,Laced Zoomshots,TRUE
257747,Smuggler's Lynxeye,TRUE
257751,Weighted Boomshots,TRUE
257735,"B0P, Curator of Booms",TRUE
268475,Evercore Dome Dinger,TRUE
268479,Thalassian Competitor's Rifle,FALSE
268477,P.O.W. x3,TRUE
244763,Thalassian Competitor's Cloth Tip-Toes,FALSE
244764,Thalassian Competitor's Leather Sliders,FALSE
244765,Thalassian Competitor's Mail Footlinks,FALSE
244766,Thalassian Competitor's Plate Dunkers,FALSE
259181,Giga-Gem Grippers,TRUE
259175,Heavy-Duty Rock Assister,TRUE
259183,Turbo-Junker's Multitool v9,TRUE
246460,Ambient Aethercharged Crystal,TRUE
262617,Ren'dorei Crafting Framework,TRUE
263049,Ren'dorei Lightpost,TRUE
262465,Ren'dorei Stargazer,TRUE
262618,Ren'dorei Void Projector,TRUE
262602,Ren'dorei Warp Orb,TRUE
262789,Small Telogrus Lamp,TRUE
