itemID,itemName,Nystelil,Zarastannil
251487,Prismatic Focusing Iris,TRUE,FALSE
251489,Stabilizing Gemstone Bandolier,TRUE,FALSE
240974,Kaleidoscopic Prism,TRUE,TRUE
240972,Sin'dorei Lens,TRUE,TRUE
240991,Sunglass Vial,TRUE,TRUE
240889,Flawless Deadly Peridot,TRUE,TRUE
240891,Flawless Masterful Peridot,FALSE,TRUE
240887,Flawless Quick Peridot,FALSE,TRUE
240893,Flawless Versatile Peridot,FALSE,TRUE
241137,Harandar Peridot Prism,FALSE,TRUE
240861,Versatile Peridot,TRUE,TRUE
240859,Masterful Peridot,TRUE,TRUE
240857,Deadly Peridot,TRUE,TRUE
240855,Quick Peridot,TRUE,TRUE
240913,Flawless Deadly Lapis,FALSE,TRUE
240917,Flawless Masterful Lapis,FALSE,TRUE
240915,Flawless Quick Lapis,FALSE,TRUE
240911,Flawless Versatile Lapis,TRUE,TRUE
241132,Amani Lapis Prism,FALSE,TRUE
240883,Quick Lapis,TRUE,TRUE
240885,Masterful Lapis,TRUE,TRUE
240881,Deadly Lapis,TRUE,TRUE
240879,Versatile Lapis,TRUE,TRUE
240897,Flawless Deadly Amethyst,TRUE,TRUE
240895,Flawless Masterful Amethyst,TRUE,TRUE
240899,Flawless Quick Amethyst,FALSE,TRUE
240901,Flawless Versatile Amethyst,FALSE,TRUE
241133,Tenebrous Amethyst Prism,FALSE,TRUE
240869,Versatile Amethyst,TRUE,TRUE
240867,Quick Amethyst,TRUE,TRUE
240865,Deadly Amethyst,TRUE,TRUE
240863,Masterful Amethyst,TRUE,TRUE
240903,Flawless Deadly Garnet,TRUE,TRUE
240907,Flawless Masterful Garnet,FALSE,TRUE
240905,Flawless Quick Garnet,FALSE,TRUE
240909,Flawless Versatile Garnet,FALSE,TRUE
241135,Sanguine Garnet Prism,FALSE,TRUE
240877,Versatile Garnet,TRUE,TRUE
240875,Masterful Garnet,TRUE,TRUE
240873,Quick Garnet,TRUE,TRUE
240871,Deadly Garnet,TRUE,TRUE
240982,Indecipherable Eversong Diamond,TRUE,FALSE
240966,Powerful Eversong Diamond,FALSE,FALSE
240970,Stoic Eversong Diamond,FALSE,FALSE
240968,Telluric Eversong Diamond,FALSE,FALSE
241143,Cognitive Heliotrope,FALSE,FALSE
241142,Determined Heliotrope,FALSE,FALSE
241144,Enduring Heliotrope,FALSE,FALSE
240952,Thalassian Competitor's Amulet,FALSE,FALSE
240951,Thalassian Competitor's Signet,FALSE,FALSE
251513,Loa Worshipper's Band,TRUE,FALSE
240949,Masterwork Sin'dorei Band,TRUE,FALSE
241140,Signet of Azerothian Blessings,TRUE,TRUE
240947,Gleaming Copper Band,TRUE,TRUE
240950,Masterwork Sin'dorei Amulet,TRUE,FALSE
241139,Thalassian Phoenix Torque,FALSE,FALSE
251073,Voidstone Shielding Array,TRUE,FALSE
240948,Nocturnal Charm,TRUE,TRUE
240958,Improved Right-Handed Magnifying Glass,TRUE,TRUE
240960,Sin'dorei Enchanter's Crystal,TRUE,FALSE
240959,Sin'dorei Jeweler's Loupes,TRUE,TRUE
240957,Sin'dorei Scribe's Spectacles,TRUE,TRUE
246527,Attuned Thalassian Rune-Prism,TRUE,FALSE
246524,Flawless Text Scrutinizers,TRUE,FALSE
246526,Mage-Eye Precision Loupes,TRUE,FALSE
246525,Thalassian Scribe's Crystalline Lens,TRUE,FALSE
240953,Bold Biographer's Bifocals,TRUE,TRUE
240954,Fantastic Font Focuser,TRUE,TRUE
240956,Silvermoon Focusing Shard,TRUE,TRUE
240955,Silvermoon Loupes,TRUE,TRUE
241141,Monologuer's Chalice,TRUE,TRUE
262471,Bejeweled Sin'dorei Lyre,TRUE,FALSE
262469,Brilliant Phoenix Harp,TRUE,TRUE
262613,Replica Haranir Mural,FALSE,FALSE
248965,Resplendent Highborne Statue,FALSE,FALSE
262454,Shining Sin'dorei Hourglass,FALSE,FALSE
262461,Tenebrous Ren'dorei Armillary,TRUE,TRUE
