itemID,itemName,Mellasona,Lindinil
245764,Codified Azeroot,TRUE,TRUE
245766,Soul Cipher,TRUE,TRUE
245805,Sienna Ink,TRUE,TRUE
245801,Munsell Ink,TRUE,TRUE
245871,Darkmoon Sigil: Blood,FALSE,TRUE
245875,Darkmoon Sigil: Hunt,FALSE,TRUE
245877,Darkmoon Sigil: Rot,FALSE,TRUE
245873,Darkmoon Sigil: Void,TRUE,TRUE
246305,Darkmoon Dominion: Blood,FALSE,TRUE
246304,Darkmoon Dominion: Hunt,FALSE,TRUE
246306,Darkmoon Dominion: Rot,FALSE,TRUE
246307,Darkmoon Dominion: Void,FALSE,TRUE
245770,Aln'hara Cane,TRUE,FALSE
245769,Aln'hara Lantern,TRUE,FALSE
245771,Aln'hara Pikestaff,TRUE,FALSE
265337,Aln'hara Sprigshot,TRUE,FALSE
245773,Faunatender's Baton,TRUE,TRUE
265336,Faunatender's Trust,TRUE,TRUE
245772,Floratender's Crutch,TRUE,TRUE
245768,Rootwarden's Lamp,TRUE,TRUE
245797,Contract: The Amani Tribe,TRUE,TRUE
245795,Contract: The Hara'ti,FALSE,TRUE
245799,Contract: The Silvermoon Court,FALSE,TRUE
245793,Contract: The Singularity,FALSE,TRUE
245789,Thalassian Missive of the Peerless,TRUE,TRUE
245791,Thalassian Missive of the Quickblade,TRUE,TRUE
245785,Thalassian Missive of the Fireflash,TRUE,TRUE
245787,Thalassian Missive of the Harmonious,TRUE,TRUE
245781,Thalassian Missive of the Aurora,TRUE,TRUE
245783,Thalassian Missive of the Feverflare,TRUE,TRUE
245820,Thalassian Missive of Crafting Speed,TRUE,TRUE
245826,Thalassian Missive of Deftness,TRUE,TRUE
245822,Thalassian Missive of Finesse,TRUE,TRUE
245814,Thalassian Missive of Ingenuity,TRUE,TRUE
245818,Thalassian Missive of Multicraft,TRUE,TRUE
245824,Thalassian Missive of Perception,TRUE,TRUE
245816,Thalassian Missive of Resourcefulness,TRUE,TRUE
259205,Gilded Alchemist's Mixing Rod,TRUE,FALSE
259209,Gilded Sin'dorei Quill,TRUE,FALSE
259207,Gilded Sin'dorei Rolling Pin,TRUE,FALSE
245778,Sin'dorei Alchemist's Mixing Rod,TRUE,FALSE
245776,Sin'dorei Quill,TRUE,FALSE
245780,Sin'dorei Rolling Pin,TRUE,FALSE
245777,Hobbyist Alchemist's Mixing Rod,TRUE,TRUE
245779,Hobbyist Rolling Pin,TRUE,TRUE
245775,Hobbyist Quill,TRUE,TRUE
245755,Thalassian Treatise on Alchemy,TRUE,TRUE
245763,Thalassian Treatise on Blacksmithing,TRUE,TRUE
245759,Thalassian Treatise on Enchanting,TRUE,TRUE
245809,Thalassian Treatise on Engineering,TRUE,TRUE
245761,Thalassian Treatise on Herbalism,TRUE,TRUE
245757,Thalassian Treatise on Inscription,TRUE,TRUE
245760,Thalassian Treatise on Jewelcrafting,TRUE,TRUE
245758,Thalassian Treatise on Leatherworking,TRUE,TRUE
245762,Thalassian Treatise on Mining,TRUE,TRUE
245828,Thalassian Treatise on Skinning,TRUE,TRUE
245756,Thalassian Treatise on Tailoring,TRUE,TRUE
245879,Vantus Rune: Radiant,TRUE,TRUE
262464,Floating Void-Touched Tome,TRUE,FALSE
262597,Gilded Eversong Book,TRUE,FALSE
253508,Harandar Signpost,TRUE,FALSE
262594,Homely Sin'dorei Shelf,TRUE,FALSE
262595,Homely Wall Shelves,TRUE,FALSE
262616,Lively Sonwriter's Quill,TRUE,FALSE
263034,Magnificent Towering Bookcase,TRUE,FALSE
262598,Opened Sin'dorei Scroll,TRUE,FALSE
262790,Restful Bronze Bench,TRUE,FALSE
262615,Sin'dorei Phoenix Quill,FALSE,FALSE
262612,Sturdy Ren'dorei Cask,TRUE,FALSE
262601,Wild Hanging Scroll,TRUE,FALSE
245869,Thalassian Competitor's Bow,FALSE,FALSE
245753,Thalassian Competitor's Emblem,FALSE,FALSE
245752,Thalassian Competitor's Insignia of Alacrity,FALSE,FALSE
245870,Thalassian Competitor's Lamp,FALSE,FALSE
245751,Thalassian Competitor's Medallion,FALSE,FALSE
245868,Thalassian Competitor's Pillar,FALSE,FALSE
268365,Thalassian Competitor's Staff,FALSE,FALSE
