itemID,itemName,,,,,,,,,,,,,,,,
239700,Bright Linen Bolt,251665,4,236963,1,,,,,,,,,,,,
239711,Bright Linen Bandage,239700,1,,,,,,,,,,,,,,
239198,Arcanoweave Bolt,236951,4,237018,5,239702,6,,,,,,,,,,
239201,Sunfire Silk Bolt,236949,4,237015,5,239702,6,,,,,,,,,,
239702,Imbued Birght Linen Bolt,251665,4,239700,2,,,,,,,,,,,,
240166,Arcanoweave Lining,251691,1,239198,2,237018,6,,,,,,,,,,
240164,Sunfire Silk Lining,251691,1,239201,2,237015,6,,,,,,,,,,
239656,Adherent's Silken Shroud,232875,2,251691,5,251283,1,239201,6,239198,6,243602,3,,,,
239648,Martyr's Bindings,232875,2,251691,5,236950,8,251283,1,238522,1,239198,12,243602,6,,
239652,Martyr's Crown,232875,2,251691,5,236949,8,251283,1,238522,1,239198,12,243602,6,,
239653,Martyr's Gloves,232875,2,251691,5,236949,8,251283,1,238522,1,239201,12,243602,6,,
239651,Martyr's Leggings,232875,2,251691,5,236952,8,251283,1,238522,1,239201,12,243602,6,,
239650,Martyr's Mantle,232875,2,251691,5,236952,8,251283,1,238522,1,239198,12,243602,6,,
239654,Martyr's Slippers,232875,2,251691,5,236951,8,251283,1,238522,1,239198,12,243602,6,,
239655,Martyr's Vestments,232875,2,251691,5,236951,8,251283,1,238522,1,239201,12,243602,6,,
239649,Martyr's Waistwrap,232875,2,251691,5,236950,8,251283,1,238522,1,239201,12,243602,6,,
239675,Courtly Shoulders,251665,3,251691,1,239700,2,,,,,,,,,,
239672,Courtly Robes,251665,3,239700,2,,,,,,,,,,,,
239674,Courtly Cloak,251665,3,239700,2,,,,,,,,,,,,
239669,Courtly Gloves,251665,3,239700,3,,,,,,,,,,,,
239668,Courtly Helm,251665,4,251691,3,239700,3,,,,,,,,,,
239676,Courtly Pants,251665,4,251691,3,239700,3,,,,,,,,,,
239670,Courtly Belt,251665,3,251691,2,239700,2,,,,,,,,,,
239673,Courtly Slippers,251665,3,239700,2,,,,,,,,,,,,
239671,Courtly Wrists,251665,2,239700,2,,,,,,,,,,,,
239660,Arcanoweave Bracers,232875,2,251691,5,236949,12,251283,1,239198,6,243602,4,237018,20,,
239661,Arcanoweave Cloak,232875,2,251691,5,236952,12,251283,1,238525,4,239198,10,243602,6,,
239664,Arcanoweave Cord,232875,2,251691,5,236950,12,251283,1,239198,8,243602,6,237018,15,,
239662,Arcanoweave Treads,232875,2,251691,5,236951,12,251283,1,239198,10,237018,10,,,,
239657,Sunfire Bracers,232875,2,251691,5,236951,12,238523,4,251283,1,239201,6,243602,4,237015,20
239658,Sunfire Cloak,232875,2,251691,5,236949,12,251283,1,238525,4,239201,10,243602,6,,
239663,Sunfire Sash,232875,2,251691,5,236950,12,251283,1,239201,8,243602,6,237015,15,,
239659,Sunfire Treads,232875,2,251691,5,236952,12,251283,1,239201,10,243602,6,237015,10,,
267052,Thalassian Alchemy Coveralls,251691,2,236950,5,245345,20,239198,8,243602,3,,,,,,
267054,Thalassian Chef's Chapeau,251691,2,236949,5,245345,20,239201,8,243602,3,,,,,,
267056,Thalassian Enchanter's Bonnet,251691,2,236951,5,245345,20,239198,8,243602,3,,,,,,
267060,Thalassian Herbalist's Cowl,251691,2,236951,5,245345,20,239198,8,243602,3,,,,,,
267062,Thalassian Tailor's Threads,251691,2,236952,5,245345,20,239201,8,243602,3,,,,,,
239635,Elegant Artisan's Alchemy Coveralls,251691,2,236950,5,239198,8,243602,3,,,,,,,,
239636,Elegant Artisan's Cooking Hat,251691,2,236949,5,239201,8,243602,3,,,,,,,,
239637,Elegant Artisan's Enchanting Hat,251691,2,236951,5,239198,8,243602,3,,,,,,,,
239638,Elegant Artisan's Fishing Hat,251691,2,236950,5,239201,8,243602,3,,,,,,,,
239639,Elegant Artisan's Herbalism Hat,251691,2,236951,5,239198,8,243602,3,,,,,,,,
239640,Elegant Artisan's Tailoring Robe,251691,2,236952,5,239201,8,243602,3,,,,,,,,
239641,Bright Linen Alchemy Apron,251665,5,239702,2,243599,2,,,,,,,,,,
239643,Bright Linen Enchanting Hat,251665,3,239702,2,243599,2,,,,,,,,,,
239644,Bright Linen Fishing Hat,251665,3,239702,2,243599,2,,,,,,,,,,
239645,Bright Linen Herbalism Hat,251665,3,239702,2,243599,2,,,,,,,,,,
239646,Bright Linen Tailoring Robe,251665,3,239702,2,243599,2,,,,,,,,,,
239642,Chef's Bright Linen Cooking Chapeau,251665,3,239702,2,243599,2,,,,,,,,,,
240154,Arcanoweave Spellthread,251691,5,236952,6,251285,4,239198,8,243602,6,237018,12,,,,
240094,Sunfire Silk Spellthread,251691,5,236950,6,251285,4,239201,8,243602,6,237015,12,,,,
240156,Bright Linen Spellthread,251691,3,239702,2,243599,2,,,,,,,,,,
