itemID,itemName,,,,,,,,,,
239700,Bright Linen Bolt,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Nimble Needlework,,
239711,Bright Linen Bandage,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,,,
239198,Arcanoweave Bolt,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Nimble Needlework,Arcanoweaving,Arcanoweave Expertise
239201,Sunfire Silk Bolt,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Nimble Needlework,Sunfire Silk Weaving,Sunfire Expertise
239702,Imbued Birght Linen Bolt,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Nimble Needlework,,
240166,Arcanoweave Lining,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Arcanoweaving,Embroidery,
240164,Sunfire Silk Lining,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sunfire Silk Weaving,Embroidery,
239656,Adherent's Silken Shroud,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Cloaks
239648,Martyr's Bindings,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Bracers
239652,Martyr's Crown,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Hats
239653,Martyr's Gloves,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Gloves
239651,Martyr's Leggings,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Trousers
239650,Martyr's Mantle,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Shoulders
239654,Martyr's Slippers,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Boots
239655,Martyr's Vestments,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Robes
239649,Martyr's Waistwrap,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Belts
239675,Courtly Shoulders,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Shoulders
239672,Courtly Robes,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Robes
239674,Courtly Cloak,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Cloaks
239669,Courtly Gloves,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Gloves
239668,Courtly Helm,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Hats
239676,Courtly Pants,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Trousers
239670,Courtly Belt,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Belts
239673,Courtly Slippers,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Boots
239671,Courtly Wrists,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Bracers
239660,Arcanoweave Bracers,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Bracers
239661,Arcanoweave Cloak,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Cloaks
239664,Arcanoweave Cord,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Belts
239662,Arcanoweave Treads,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Head-to-Toes,Boots
239657,Sunfire Bracers,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Elegant Accessories,Bracers
239658,Sunfire Cloak,Fabric Specialist,Eastern Kingdoms Cloth,Otherworldly Cloth,Fiber Arts,Fashion Genius,Textile Utilization,Creative Efficency,Sin'dorei Finery,Outfit Essentials,Cloaks
