itemID,itemName,Zarastannil,Nystelil
262451,Gilded Silvermoon Anvil,TRUE,FALSE
262457,Gilded Silvermoon Hanger,TRUE,FALSE
262452,Masterwork Crafting Hammer,TRUE,FALSE
262456,Ornamental Silvermoon Hanger,FALSE,FALSE
262460,Ren'dorei Anvil,TRUE,FALSE
238204,Sterling Alloy,TRUE,TRUE
238202,Gloaming Alloy,TRUE,TRUE
238197,Refulgent Copper Ingot,TRUE,TRUE
244472,Knight-Commander's Palisade,FALSE,FALSE
244463,Murder Row Fleet Feet,TRUE,TRUE
237834,Spellbreaker's Bracers,FALSE,TRUE
237832,Spellbreaker's Cover,FALSE,TRUE
237830,Spellbreaker's Girdle,FALSE,TRUE
237833,Spellbreaker's Legguards,FALSE,TRUE
237835,Spellerbreaker's Mantle,FALSE,TRUE
237828,Spellbreaker's March,FALSE,TRUE
237831,Spellbreaker's Rebuke,FALSE,TRUE
237836,Spellbreaker's Resolve,FALSE,TRUE
237829,Spellbreaker's Shelter,TRUE,TRUE
237922,Blood-Tempered Leggings,TRUE,TRUE
237924,Blood-Tempered Pauldrons,TRUE,TRUE
237917,Blood-Tempered Greaves,TRUE,TRUE
237921,Blood-Tempered Basinet,TRUE,TRUE
237925,Blood-Tempered Bulwark,TRUE,TRUE
237920,Blood-Tempered Gauntlets,TRUE,TRUE
237919,Blood-Tempered Greatbelt,TRUE,TRUE
237923,Blood-Tempered Bracers,TRUE,TRUE
237918,Blood-Tempered Chestplate,TRUE,TRUE
237847,Blood Knight's Impetus,FALSE,FALSE
237848,Blood Knight's Mercy,TRUE,TRUE
237846,Blood Knight's Warblade,TRUE,TRUE
237845,Bloomforged Claw,TRUE,TRUE
237842,Bloomforged Greataxe,TRUE,FALSE
237850,Farstrider's Chopper,TRUE,FALSE
237837,Farstrider's Mercy,TRUE,FALSE
237844,Magister's Cleaver,TRUE,TRUE
237843,Magister's Mana Sword,TRUE,TRUE
237838,Magister's Ritual Knife,TRUE,TRUE
237849,Magister's Valediction,TRUE,TRUE
244679,Murder Row Fishhook,TRUE,FALSE
237839,Spellbreaker's Blade,TRUE,FALSE
237841,Spellbreaker's Ultimatum,TRUE,FALSE
237840,Spellbreaker's Warglaive,TRUE,FALSE
237930,Dawnforged War Mace,TRUE,TRUE
237929,Primalforged Knuckles,TRUE,TRUE
237928,Dawnforged Long Blade,TRUE,TRUE
237931,Dawnforged Splitter,TRUE,TRUE
237927,Dawnforged Edge,TRUE,TRUE
237926,Dawnforged Ritual Knife,TRUE,TRUE
237932,Primalforged Heavy Axe,TRUE,TRUE
246537,Sunforged Blacksmith's Hammer,TRUE,FALSE
259230,Sunforged Blacksmith's Toolbox,TRUE,TRUE
246536,Sunforged Leatherworker's Knife,TRUE,TRUE
259232,Sunforged Leatherworker's Toolset,TRUE,TRUE
259234,Sunforged Needle Set,TRUE,TRUE
246534,Sunforged Pickaxe,TRUE,TRUE
246533,Sunforged Sickle,TRUE,TRUE
246535,Sunforged Skinning Knife,TRUE,TRUE
238018,Sun-Blessed Blacksmith's Hammer,TRUE,FALSE
237952,Sun-Blessed Blacksmith's Toolbox,TRUE,TRUE
238017,Sun-Blessed Leatherworker's Knife,TRUE,FALSE
237951,Sun-Blessed Leatherworker's Toolset,TRUE,FALSE
237950,Sun-Blessed Needle Set,TRUE,FALSE
238015,Sun-Blessed Pickaxe,TRUE,FALSE
238014,Sun-Blessed Sickle,TRUE,FALSE
238016,Sun-Blessed Skinning Knife,TRUE,FALSE
238013,Thalassian Blacksmith's Hammer,TRUE,TRUE
237948,Thalassian Blacksmith's Toolbox,TRUE,TRUE
238012,Thalassian Leatherworker's Knife,TRUE,TRUE
237947,Thalassian Leatherworker's Toolset,TRUE,TRUE
237946,Thalassian Needle Set,TRUE,TRUE
238010,Thalassian Pickaxe,TRUE,TRUE
238009,Thalassian Sickle,TRUE,TRUE
238011,Thalassian Skinning Knife,TRUE,TRUE
237367,Refulgent Weightstone,TRUE,TRUE
237372,Refulgent Razorstone,TRUE,TRUE
237370,Refulgent Whetstone,TRUE,TRUE
237912,Thalassian Competitor's Bulwark,FALSE,FALSE
237915,Thalassian Competitor's Greatsword,FALSE,FALSE
237910,Thalassian Competitor's Knife,FALSE,FALSE
237911,Thalassian Competitor's Maxim,FALSE,FALSE
237909,Thalassian Competitor's Pickaxe,FALSE,FALSE
237908,Thalassian Competitor's Plate Armguards,FALSE,FALSE
237901,Thalassian Competitor's Plate Breastplate,FALSE,FALSE
237903,Thalassian Competitor's Plate Gauntlets,FALSE,FALSE
237905,Thalassian Competitor's Plate Greaves,FALSE,FALSE
237904,Thalassian Competitor's Plate Helm,FALSE,FALSE
237906,Thalassian Competitor's Plate Pauldrons,FALSE,FALSE
237902,Thalassian Competitor's Plate Sabatons,FALSE,FALSE
237907,Thalassian Competitor's Plate Waistguard,FALSE,FALSE
237914,Thalassian Competitor's Skewer,FALSE,FALSE
237913,Thalassian Competitor's Splitter,FALSE,FALSE
237916,Thalassian Competitor's Sword,FALSE,FALSE
238209,Refulgent Repair Hammer,FALSE,TRUE
260232,Thalassian Skeleton Key,FALSE,TRUE
