itemID,itemName,Braevele,Lindinil
244603,Blessed Pango Charm,TRUE,TRUE
244674,Devouring Banding,FALSE,FALSE
244607,Primal Spore Binding,TRUE,TRUE
244633,Infused Scalewoven Hide,TRUE,TRUE
244631,Scalewoven Hide,TRUE,TRUE
244637,Silvermoon Weapon Wrap,TRUE,TRUE
244635,Sin'dorei Armor Banding,TRUE,TRUE
244639,Void-touched Drums,TRUE,TRUE
244642,Blood Knight's Armor Kit,TRUE,FALSE
244640,Forest Hunter's Amor Kit,FALSE,FALSE
244644,Thalassian Scout Armor Kit,TRUE,TRUE
244606,Hexwoven Strand,TRUE,FALSE
244612,Row Walker's Deflectors,FALSE,FALSE
244613,Row Walker's Insurance,TRUE,FALSE
244614,Row Walker's Swiftgrips,FALSE,FALSE
244570,Silvermoon Agent's Coat,TRUE,FALSE
244571,Silvermoon Agent's Cover,TRUE,FALSE
244576,Silvermoon Agent's Deflectors,TRUE,FALSE
244575,Silvermoon Agent's Handwraps,TRUE,FALSE
244574,Silvermoon Agent's Leggings,TRUE,FALSE
244572,Silvermoon Agent's Mantle,TRUE,FALSE
244569,Silvermoon Agent's Sneakers,TRUE,FALSE
244573,Silvermoon Agent's Utility Belt,TRUE,FALSE
244601,World Tree Rootwraps,FALSE,FALSE
244591,Smuggler's Reinforced Hood,TRUE,TRUE
244594,Smuggler's Reinforced Pants,TRUE,TRUE
244592,Smuggler's Reinforced Shoulderguards,TRUE,TRUE
244593,Smuggler's Reinforced Gloves,TRUE,TRUE
244595,Smuggler's Reinforced Binding,TRUE,TRUE
244587,Smuggler's Leather Tunic,TRUE,TRUE
244585,Smuggler's Leather Footpads,TRUE,TRUE
244586,Smuggler's Leather Wristbands,TRUE,TRUE
244605,Axe-Flingin' Bands,FALSE,FALSE
244580,Farstrider's Brilliant Plumes,FALSE,TRUE
244584,Farstrider's Plated Bracers,FALSE,TRUE
244577,Farstrider's Razor Talons,FALSE,TRUE
244582,Farstrider's Reinforced Faulds,FALSE,TRUE
244578,Farstrider's Scouting Vest,FALSE,TRUE
244583,Farstrider's Sharpened Claws,FALSE,TRUE
244581,Farstrider's Trophy Belt,FALSE,TRUE
244579,Farstrider's Unwavering Visage,FALSE,TRUE
244602,Ranger-General's Grips,TRUE,TRUE
244611,World Tender's Barkclasp,FALSE,FALSE
244610,World Tender's Rootslippers,FALSE,FALSE
244609,World Tender's Trunkplate,TRUE,TRUE
244596,Scout's Polished Skullcap,TRUE,TRUE
244599,Scout's Polished Legguards,TRUE,TRUE
244597,Scout's Polished Spaulders,TRUE,TRUE
244598,Scout's Polished Gauntlets,TRUE,TRUE
244600,Scout's Polished Wrap,TRUE,TRUE
244590,Scout's Scaled Vest,TRUE,TRUE
244588,Scout's Scaled Boots,TRUE,TRUE
244589,Scout's Scaled Bracers,TRUE,TRUE
244557,Thalassian Competitor's Leather Belt,FALSE,FALSE
244553,Thalassian Competitor's Leather Boots,FALSE,FALSE
244554,Thalassian Competitor's Leather Chestpiece,FALSE,FALSE
244559,Thalassian Competitor's Leather Gloves,FALSE,FALSE
244555,Thalassian Competitor's Leather Mask,FALSE,FALSE
244556,Thalassian Competitor's Leather Shoulderpads,FALSE,FALSE
244558,Thalassian Competitor's Leather Trousers,FALSE,FALSE
244560,Thalassian Competitor's Leather Wristwraps,FALSE,FALSE
244563,Thalassian Competitor's Chain Cowl,FALSE,FALSE
244568,Thalassian Competitor's Chain Cuffs,FALSE,FALSE
244564,Thalassian Competitor's Chain Epaulets,FALSE,FALSE
244565,Thalassian Competitor's Chain Girdle,FALSE,FALSE
244567,Thalassian Competitor's Chain Grips,FALSE,FALSE
244566,Thalassian Competitor's Chain Leggings,FALSE,FALSE
244561,Thalassian Competitor's Chain Stompers,FALSE,FALSE
244562,Thalassian Competitor's Chain Tunic,FALSE,FALSE
244623,Eversong Hunter's Headcover,TRUE,FALSE
244626,Sin'dorei Alchemist's Hat,TRUE,FALSE
244624,Sin'dorei Engineer's Gloves,TRUE,TRUE
244628,Sin'dorei Forgemaster's Cover,TRUE,FALSE
244621,Sin'dorei Herbalist's Backpack,TRUE,FALSE
244622,Sin'dorei Hunter's Pack,TRUE,TRUE
244630,Sin'dorei Jeweler's Cover,TRUE,FALSE
244625,Sin'dorei Leathershaper's Smock,TRUE,FALSE
